"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.27333241620305e-143,0.738706116231801,1,0.991,1.74624807558087e-139,"0","RPS12"
6.81765311980155e-143,0.693452323885862,1,0.995,9.34972948849585e-139,"0","RPS6"
4.66180970076748e-141,0.737260374621277,0.999,0.992,6.39320582363252e-137,"0","RPS27"
8.15841196343647e-138,0.626607542994588,0.999,0.995,1.11884461666568e-133,"0","RPL32"
5.17747843679082e-130,0.633695708743574,1,0.994,7.10039392821493e-126,"0","RPS14"
3.24489825267427e-123,0.768994036024559,0.997,0.975,4.45005346371749e-119,"0","RPS25"
2.07344404776566e-119,0.775754415240304,0.997,0.964,2.84352116710582e-115,"0","RPL31"
1.51086323547796e-118,0.771433773926731,0.997,0.971,2.07199784113447e-114,"0","RPL9"
1.21605133180095e-114,0.565987702941485,1,0.996,1.66769279643182e-110,"0","RPL13"
3.74613068088795e-112,1.20601893421376,0.912,0.592,5.13744361576974e-108,"0","LDHB"
8.27871576995914e-112,0.598938447445117,1,0.994,1.1353430806922e-107,"0","RPS3"
1.10726118409388e-111,0.613417471999005,0.997,0.995,1.51849798786635e-107,"0","RPL3"
5.40307428056366e-111,0.801027013677765,0.997,0.975,7.409776068365e-107,"0","RPS3A"
9.85457680871053e-110,0.68063936404087,1,0.98,1.35145666354656e-105,"0","RPL30"
1.66726314229216e-107,0.670953803880463,0.997,0.991,2.28648467333947e-103,"0","RPL21"
3.49381162613543e-107,0.648472758820643,0.997,0.983,4.79141326408213e-103,"0","RPS15A"
7.44119153762457e-103,0.603163087514067,1,0.99,1.02048500746983e-98,"0","RPLP2"
4.53874786654834e-98,0.745480376231418,0.994,0.967,6.2244388241844e-94,"0","RPS27A"
7.95618457437842e-98,0.535899863190999,0.994,0.991,1.09111115253026e-93,"0","EEF1A1"
2.65411158951811e-97,0.71596547906355,0.985,0.962,3.63984863386514e-93,"0","RPS13"
6.1575874509276e-93,0.524265115420561,1,0.996,8.4445154302021e-89,"0","RPS18"
9.33289739339184e-93,0.482264338935895,1,0.999,1.27991354852976e-88,"0","RPL13A"
3.95462918049876e-92,0.467074852193826,1,0.995,5.423378458136e-88,"0","RPL11"
1.26691572526491e-91,0.649795482114626,1,0.999,1.73744822562829e-87,"0","MALAT1"
1.43187374640659e-91,0.660562935916748,0.993,0.968,1.96367165582199e-87,"0","RPS28"
3.12647483344394e-90,0.587549237454393,0.999,0.981,4.28764758658502e-86,"0","RPL35A"
5.26207181622408e-89,0.538688804231816,0.999,0.988,7.2164052887697e-85,"0","RPL27A"
9.57198363119673e-88,2.39736569074813,0.447,0.108,1.31270183518232e-83,"0","CCR7"
1.78138636352935e-87,0.7801951987353,0.993,0.904,2.44299325894415e-83,"0","RPS29"
1.8019055766788e-85,0.611241837499504,0.997,0.982,2.47113330785731e-81,"0","TPT1"
1.13532435421822e-84,0.565771705702255,1,0.988,1.55698381937487e-80,"0","RPL23A"
4.70552218991545e-84,0.583006064516577,0.997,0.977,6.45315313125005e-80,"0","RPS23"
6.03390048825006e-81,0.521558982869665,0.997,0.992,8.27489112958613e-77,"0","RPS4X"
3.49626639661882e-80,0.694261067643774,0.988,0.943,4.79477973632305e-76,"0","RPS20"
1.15469480696824e-76,1.06411293409143,0.845,0.406,1.58354845827624e-72,"0","CD3D"
1.39659277586284e-76,0.6137235309548,0.988,0.969,1.9152873328183e-72,"0","RPL5"
3.85972065576792e-75,0.547422226176903,0.996,0.982,5.29322090732012e-71,"0","RPS16"
6.41807033898982e-72,0.359266327498044,1,0.997,8.80174166289065e-68,"0","RPL10"
1.02928867751014e-71,0.402733142336633,0.999,0.993,1.41156649233741e-67,"0","RPL19"
1.04232235957197e-69,0.531966525102187,0.991,0.985,1.429440883917e-65,"0","RPL10A"
7.00913024734827e-67,0.583512421548396,0.99,0.948,9.61232122121342e-63,"0","RPSA"
5.45014818051975e-63,0.444659821998271,0.996,0.985,7.47433321476478e-59,"0","RPL14"
4.20729158650937e-61,0.534315390537821,0.991,0.968,5.76987968173896e-57,"0","RPS10"
4.44987431431281e-61,0.513814006282486,0.99,0.975,6.1025576346486e-57,"0","RPS5"
1.43908990833012e-59,0.815326090312099,0.921,0.798,1.97356790028393e-55,"0","NPM1"
2.32039523177814e-59,0.41637825547982,1,0.989,3.18219002086055e-55,"0","RPS15"
9.4916267479238e-58,0.557539859164788,0.99,0.948,1.30168169221027e-53,"0","RPL36"
1.12751149831959e-57,0.549277017765888,0.988,0.938,1.54626926879548e-53,"0","RPLP0"
3.57529594737633e-57,0.524928447309897,0.999,0.979,4.9031608622319e-53,"0","RPL18"
1.12240531491322e-54,1.04352902326393,0.731,0.4,1.53926664887199e-50,"0","CD3E"
4.72196362456296e-52,0.543569945971778,0.994,0.956,6.47570091472564e-48,"0","RPL4"
1.35431856440599e-51,2.13652967588241,0.342,0.103,1.85731247922637e-47,"0","LEF1"
